,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
1644,415286_info.csv,New Zealand,Pakistan,male,2009/10,2009/10/03,ICC Champions Trophy,New Wanderers Stadium,Johannesburg,Pakistan,bat,DL Vettori,SJA Taufel,SJ Davis,DJ Harper,J Srinath,New Zealand,,5,,,,
1645,415287_info.csv,Australia,New Zealand,male,2009/10,2009/10/05,ICC Champions Trophy,SuperSport Park,Centurion,New Zealand,bat,SR Watson,IJ Gould,BF Bowden,Asad Rauf,RS Mahanama,Australia,,6,,,,
1646,416236_info.csv,India,Australia,male,2009/10,2009/10/25,Australia in India ODI Series,Reliance Stadium,Vadodara,Australia,bat,MEK Hussey,SK Tarapore,MR Benson,S Asnani,BC Broad,Australia,4,,,,,
1647,416237_info.csv,India,Australia,male,2009/10,2009/10/28,Australia in India ODI Series,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Australia,field,MS Dhoni,SK Tarapore,S Asnani,SS Hazare,BC Broad,India,99,,,,,
1648,416238_info.csv,India,Australia,male,2009/10,2009/10/31,Australia in India ODI Series,Feroz Shah Kotla,Delhi,Australia,bat,Yuvraj Singh,AM Saheba,S Asnani,SK Tarapore,BC Broad,India,,6,,,,
1649,416239_info.csv,India,Australia,male,2009/10,2009/11/02,Australia in India ODI Series,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,field,SR Watson,AM Saheba,S Asnani,SS Hazare,BC Broad,Australia,24,,,,,
1650,416240_info.csv,India,Australia,male,2009/10,2009/11/05,Australia in India ODI Series,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Australia,bat,SR Tendulkar,SK Tarapore,S Ravi,SS Hazare,BC Broad,Australia,3,,,,,
1651,416241_info.csv,India,Australia,male,2009/10,2009/11/08,Australia in India ODI Series,Nehru Stadium,Guwahati,India,bat,DE Bollinger,SK Tarapore,S Ravi,SS Hazare,BC Broad,Australia,,6,,,,
1652,422626_info.csv,Bangladesh,Zimbabwe,male,2009/10,2009/10/27,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,Mirpur,Zimbabwe,field,E Chigumbura,Nadir Shah,Anisur Rahman,Enamul Haque,RS Madugalle,Zimbabwe,,5,,,,
1653,422627_info.csv,Bangladesh,Zimbabwe,male,2009/10,2009/10/29,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,Mirpur,Zimbabwe,bat,Abdur Razzak,Enamul Haque,Anisur Rahman,Nadir Shah,RS Madugalle,Bangladesh,,7,,,,
1654,422628_info.csv,Bangladesh,Zimbabwe,male,2009/10,2009/10/31,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Tamim Iqbal,Nadir Shah,Mahfuzur Rahman,Sharfuddoula,RS Madugalle,Bangladesh,,4,,,,
1655,422629_info.csv,Bangladesh,Zimbabwe,male,2009/10,2009/11/03,Zimbabwe in Bangladesh ODI Series,Zohur Ahmed Chowdhury Stadium,Chittagong,Zimbabwe,bat,Nazmul Hossain,Nadir Shah,Tanvir Ahmed,Sharfuddoula,RS Madugalle,Bangladesh,,6,,,,
1656,422630_info.csv,Bangladesh,Zimbabwe,male,2009/10,2009/11/05,Zimbabwe in Bangladesh ODI Series,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Naeem Islam,Enamul Haque,Tanvir Ahmed,,RS Madugalle,Bangladesh,,1,,,,
1657,423387_info.csv,South Africa,West Indies,female,2009/10,2009/10/21,West Indies Women in South Africa ODI Series,Boland Bank Park,Paarl,South Africa,field,C Brits,CD Isaacs,IH van Kerwel,,CJ Mitchley,South Africa,,7,,,,
1658,423783_info.csv,New Zealand,Bangladesh,male,2009/10,2010/02/05,Bangladesh in New Zealand ODI Series,McLean Park,Napier,New Zealand,bat,JDP Oram,EA Watkin,CB Gaffaney,GAV Baxter,AG Hurst,New Zealand,146,,,,,
1659,423784_info.csv,New Zealand,Bangladesh,male,2009/10,2010/02/08,Bangladesh in New Zealand ODI Series,University Oval,Dunedin,New Zealand,field,LRPL Taylor,RA Kettleborough,EA Watkin,CB Gaffaney,AG Hurst,New Zealand,,5,,,,
1660,423785_info.csv,New Zealand,Bangladesh,male,2009/10,2010/02/11,Bangladesh in New Zealand ODI Series,AMI Stadium,Christchurch,New Zealand,field,MJ Guptill,RA Kettleborough,CB Gaffaney,EA Watkin,AG Hurst,New Zealand,,3,,,,
1661,423791_info.csv,New Zealand,Australia,male,2009/10,2010/03/03,Chappell-Hadlee Trophy,McLean Park,Napier,Australia,bat,LRPL Taylor,RE Koertzen,GAV Baxter,CB Gaffaney,RS Madugalle,New Zealand,,2,,,,
1662,423792_info.csv,New Zealand,Australia,male,2009/10,2010/03/06,Chappell-Hadlee Trophy,Eden Park,Auckland,Australia,bat,DL Vettori,RE Koertzen,CB Gaffaney,GAV Baxter,RS Madugalle,Australia,12,,,D/L,,
1663,423793_info.csv,New Zealand,Australia,male,2009/10,2010/03/09,Chappell-Hadlee Trophy,Seddon Park,Hamilton,Australia,field,BJ Haddin,BF Bowden,CB Gaffaney,EA Watkin,RS Madugalle,Australia,,6,,,,
1664,423794_info.csv,New Zealand,Australia,male,2009/10,2010/03/11,Chappell-Hadlee Trophy,Eden Park,Auckland,Australia,field,CL White,GAV Baxter,EA Watkin,CB Gaffaney,RS Madugalle,Australia,,6,,D/L,,
1665,423795_info.csv,New Zealand,Australia,male,2009/10,2010/03/13,Chappell-Hadlee Trophy,Westpac Stadium,Wellington,Australia,field,TG Southee,GAV Baxter,WR Knights,EA Watkin,RS Madugalle,New Zealand,51,,,,,
1666,426384_info.csv,Ireland,Australia,male,2010,2010/06/17,,Clontarf Cricket Club Ground,Dublin,Australia,bat,JR Hopes,NJ Llong,L Fourie,,BC Broad,Australia,39,,,,,
1667,426387_info.csv,England,Australia,male,2010,2010/06/22,NatWest Series,The Rose Bowl,Southampton,Australia,bat,EJG Morgan,IJ Gould,RA Kettleborough,RK Illingworth,J Srinath,England,,4,,,,
